date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:24:42	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Wed,%2019%20Oct%202022%2022:24:42%20GMT	http://static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5abe8f0d575d1fe65e698d23/1522437912454/14183641_1488832829.1848-1.jpg?format=1500w	/home/george/websites/shdh/static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5abe8f0d575d1fe65e698d23/1522437912454/14183641_1488832829.1848-126f7.jpg	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group-9sw96)
23:24:43	0/-1	---M--	302	error ('')			https://www.transitionsfvs.org/about	/home/george/websites/shdh/www.transitionsfvs.org/about.c5.delayed	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group-9sw96)
23:24:43	0/-1	---M--	302	error ('')			https://www.transitionsfvs.org/how-you-can-help	/home/george/websites/shdh/www.transitionsfvs.org/how-you-can-help.c6.delayed	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group-9sw96)
23:24:43	0/-1	---M--	302	error ('')			https://www.transitionsfvs.org/news-events	/home/george/websites/shdh/www.transitionsfvs.org/news-events.c7.delayed	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group-9sw96)
23:24:43	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Wed,%2019%20Oct%202022%2022:24:43%20GMT	http://static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5abe8ef9f950b734a159bb2e/1522437895827/14183641_1488832829.1848-1.jpg?format=1500w	/home/george/websites/shdh/static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5abe8ef9f950b734a159bb2e/1522437895827/14183641_1488832829.1848-126f7.jpg	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group-at2k6)
23:24:44	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Wed,%2019%20Oct%202022%2022:24:44%20GMT	http://static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5abe8ef9f950b734a159bb2e/1522437895827/14183641_1488832829.1848-1.jpg?format=1500w	/home/george/websites/shdh/static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5abe8ef9f950b734a159bb2e/1522437895827/14183641_1488832829.1848-126f7.jpg	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group-at2k6)
23:24:45	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Wed,%2019%20Oct%202022%2022:24:45%20GMT	http://static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5abe8ef9f950b734a159bb2e/1522437895827/14183641_1488832829.1848-1.jpg?format=1500w	/home/george/websites/shdh/static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5abe8ef9f950b734a159bb2e/1522437895827/14183641_1488832829.1848-126f7.jpg	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group-at2k6)
23:24:46	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Wed,%2019%20Oct%202022%2022:24:46%20GMT	http://static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5abe8ef9f950b734a159bb2e/1522437895827/14183641_1488832829.1848-1.jpg?format=1500w	/home/george/websites/shdh/static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5abe8ef9f950b734a159bb2e/1522437895827/14183641_1488832829.1848-126f7.jpg	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group-at2k6)
23:24:47	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Wed,%2019%20Oct%202022%2022:24:47%20GMT	http://static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5abe8ef9f950b734a159bb2e/1522437895827/14183641_1488832829.1848-1.jpg?format=1500w	/home/george/websites/shdh/static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5abe8ef9f950b734a159bb2e/1522437895827/14183641_1488832829.1848-126f7.jpg	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group-at2k6)
23:24:48	0/-1	---M--	302	error ('')			https://www.transitionsfvs.org/about	/home/george/websites/shdh/www.transitionsfvs.org/about.cd.delayed	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group-at2k6)
23:24:48	0/-1	---M--	302	error ('')			https://www.transitionsfvs.org/how-you-can-help	/home/george/websites/shdh/www.transitionsfvs.org/how-you-can-help.ce.delayed	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group-at2k6)
23:24:48	0/-1	---M--	302	error ('')			https://www.transitionsfvs.org/news-events	/home/george/websites/shdh/www.transitionsfvs.org/news-events.cf.delayed	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group-at2k6)
23:24:48	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Wed,%2019%20Oct%202022%2022:24:48%20GMT	http://static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5a81b73124a69420e39c6d67/1522437882071/14183641_1488832829.1848-1.jpg?format=1500w	/home/george/websites/shdh/static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5a81b73124a69420e39c6d67/1522437882071/14183641_1488832829.1848-126f7.jpg	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group)
23:24:49	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Wed,%2019%20Oct%202022%2022:24:49%20GMT	http://static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5a81b73124a69420e39c6d67/1522437882071/14183641_1488832829.1848-1.jpg?format=1500w	/home/george/websites/shdh/static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5a81b73124a69420e39c6d67/1522437882071/14183641_1488832829.1848-126f7.jpg	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group)
23:24:50	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Wed,%2019%20Oct%202022%2022:24:50%20GMT	http://static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5a81b73124a69420e39c6d67/1522437882071/14183641_1488832829.1848-1.jpg?format=1500w	/home/george/websites/shdh/static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5a81b73124a69420e39c6d67/1522437882071/14183641_1488832829.1848-126f7.jpg	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group)
23:24:51	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Wed,%2019%20Oct%202022%2022:24:51%20GMT	http://static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5a81b73124a69420e39c6d67/1522437882071/14183641_1488832829.1848-1.jpg?format=1500w	/home/george/websites/shdh/static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5a81b73124a69420e39c6d67/1522437882071/14183641_1488832829.1848-126f7.jpg	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group)
23:24:52	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Wed,%2019%20Oct%202022%2022:24:52%20GMT	http://static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5a81b73124a69420e39c6d67/1522437882071/14183641_1488832829.1848-1.jpg?format=1500w	/home/george/websites/shdh/static1.squarespace.com/static/5a5481e818b27dc35ee7fe27/5a67a7bee4966bfd48ce56be/5a81b73124a69420e39c6d67/1522437882071/14183641_1488832829.1848-126f7.jpg	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group)
23:24:53	0/-1	---M--	302	error ('')			https://www.transitionsfvs.org/about	/home/george/websites/shdh/www.transitionsfvs.org/about.d5.delayed	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group)
23:24:53	0/-1	---M--	302	error ('')			https://www.transitionsfvs.org/how-you-can-help	/home/george/websites/shdh/www.transitionsfvs.org/how-you-can-help.d6.delayed	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group)
23:24:53	0/-1	---M--	302	error ('')			https://www.transitionsfvs.org/news-events	/home/george/websites/shdh/www.transitionsfvs.org/news-events.d7.delayed	(from https://www.transitionsfvs.org/events/2018/2/12/womens-support-group)
